,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,gu,주소,위도,경도,cnt
158,김재춘미술관,부산 부산진구 냉정로 215-0,문화시설,미술관,Busanjin-gu,부산 부산진구 냉정로 215,35.1508294,129.028627,127
159,태광암,부산 부산진구 개금본동로17번길 60-0,역사관광지,절,Busanjin-gu,부산 부산진구 개금본동로17번길 60-0,35.157834,129.023266,127
160,CGV서면,부산 부산진구 동천로 4-0,공연/행사,극장,Busanjin-gu,부산 부산진구 동천로 4-0,35.1547911,129.0617297,127
161,블라썸제이공방,부산 부산진구 전포대로 225-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 전포대로 225,35.1574162,129.0654539,127
162,보련사,부산 부산진구 성지로114번길 55-6,역사관광지,절,Busanjin-gu,부산 부산진구 성지로114번길 55-6,35.1812272,129.0538886,127
163,아이존팝부산서면점,부산 부산진구 중앙대로 704-0,휴양관광지,놀이시설,Busanjin-gu,부산 부산진구 중앙대로 704,35.1555207,129.0595972679544,127
164,더파크,부산 부산진구 새싹로 295-0,휴양관광지,동식물원,Busanjin-gu,부산 부산진구 새싹로 295,35.1608974,129.056557,127
165,뽀로로도서관,부산 부산진구,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
166,고운사,부산 부산진구 양정로 52-112,역사관광지,절,Busanjin-gu,부산 부산진구 양정로 52-112,35.1705632,129.0770189,127
167,옥수정사,부산 부산진구 양정로 88-60,역사관광지,절,Busanjin-gu,부산 부산진구 양정로 88-60,35.1705632,129.0770189,127
168,작당감,부산 부산진구 백양순환로119번길 9-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 백양순환로119번길 9-0,35.171507,129.0410708,127
169,화지사,부산 부산진구 동평로 335-0,역사관광지,절,Busanjin-gu,부산 부산진구 동평로 335,35.1644264,129.0317246,127
170,부전도서관지하철북카페,부산 부산진구 서전로 40-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 서전로 40-0,35.1577768,129.0682586,127
171,대각사,부산 부산진구 당감서로 171-0,역사관광지,절,Busanjin-gu,부산 부산진구 당감서로 171,35.1613606,129.0365868,127
172,대원정사,부산 부산진구 성지로94번길 151-17,역사관광지,절,Busanjin-gu,부산 부산진구 성지로94번길 151-17,35.1810809,129.0596036,127
173,아쿠아윌 트렌치002,부산 부산진구 성지로 98-1,휴양관광지,수족관,Busanjin-gu,부산 부산진구 성지로 98-1,35.1817292,129.0483753,127
174,부산상공회의소전시실,부산 부산진구 황령대로 24-0,문화시설,전시장,Busanjin-gu,부산 부산진구 황령대로 24-0,35.1484867,129.0627877,127
175,관음사,부산 부산진구 신천대로197번길 35-0,역사관광지,절,Busanjin-gu,부산 부산진구 신천대로197번길 35-0,35.1592866,129.0491807,127
176,국립부산국악원소극장,부산 부산진구 국악로 2-0,공연/행사,공연장,Busanjin-gu,부산 부산진구 국악로 2-0,35.1718924,129.0532978,127
177,퀸맵스튜디오,부산 부산진구 동천로108번길 11-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 동천로108번길 11-0,35.1586549,129.0629678,127
178,부산전포동구상반려암,부산 부산진구,역사관광지,문화유적지,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
179,금산사,부산 부산진구 개금본동로 32-4,역사관광지,절,Busanjin-gu,부산 부산진구 개금본동로 32-4,35.1581038,129.0216805,127
180,여여정사,부산 부산진구 엄광로248번길 32-0,역사관광지,절,Busanjin-gu,부산 부산진구 엄광로248번길 32-0,35.1521844,129.03864,127
181,감고개작은도서관,부산 부산진구 가야대로548번길 109-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 가야대로548번길 109-0,35.149721,129.0327537,127
