,Unnamed: 0,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,구군명,주소,위도,경도
159,159,해운대수목원,부산 해운대구,휴양관광지,동식물원,Haeundae-gu,부산 해운대구,35.1629,129.1638
160,160,해운대구문화복합센터,부산 해운대구 센텀중앙로 170-0,문화시설,문화생활시설기타,Haeundae-gu,부산 해운대구 센텀중앙로 170,35.1781569,129.1234604
161,161,부산시립미술관,부산 해운대구 APEC로 58-0,문화시설,미술관,Haeundae-gu,부산 해운대구 APEC로 58-0,35.1670333,129.1357275
162,162,뮤지엄다,부산 해운대구 센텀서로 20-0,문화시설,미술관,Haeundae-gu,부산 해운대구 센텀서로 20-0,35.1723109,129.1274832
163,163,롯데시네마프리미엄해운대,부산 해운대구 해운대로 802-0,공연/행사,극장,Haeundae-gu,부산 해운대구 해운대로 802,35.1887346,129.203893
164,164,해리단길,부산 해운대구,휴양관광지,놀거리기타,Haeundae-gu,부산 해운대구,35.1629,129.1638
165,165,CGV해운대,부산 해운대구 해운대로 620-0,공연/행사,극장,Haeundae-gu,부산 해운대구 해운대로 620,35.1887346,129.203893
166,166,해운대블루라인파크,부산 해운대구,휴양관광지,테마파크,Haeundae-gu,부산 해운대구,35.1629,129.1638
167,167,해운대도서관본관,부산 해운대구 양운로 183-0,문화시설,문화생활시설기타,Haeundae-gu,부산 해운대구 양운로 183,35.1732877,129.1735977
168,168,반여도서관,부산 해운대구 재반로282번길 38-0,문화시설,문화생활시설기타,Haeundae-gu,부산 해운대구 재반로282번길 38-0,35.2026562,129.1356824
169,169,키자니아부산점,부산 해운대구 센텀4로 15-0,휴양관광지,놀이시설,Haeundae-gu,부산 해운대구 센텀4로 15-0,35.1711576,129.1324827
170,170,해운정사,부산 해운대구 우동2로 40-6,역사관광지,절,Haeundae-gu,부산 해운대구 우동2로 40-6,35.1722231,129.1568418
171,171,CGV센텀시티,부산 해운대구 센텀남대로 35-0,공연/행사,극장,Haeundae-gu,부산 해운대구,35.1629,129.1638
172,172,해운대온천센터,부산 해운대구 중동2로 16-0,휴양관광지,온천,Haeundae-gu,부산 해운대구 중동2로 16-0,35.1636445,129.164833
